Marca,Modello,Type,Origine,DriveTrain,MSRP,Invoice,EngineSize,Cylinders,Horsepower,MPG_City,MPG_Highway,Weight,Wheelbase,Length
Acura,MDX,SUV,Asia,All,36945.0,33337.0,3.5,6.0,265.0,17.0,23.0,4451.0,106.0,189.0
Acura,RSX Type S 2dr,Sedan,Asia,Front,23820.0,21761.0,2.0,4.0,200.0,24.0,31.0,2778.0,101.0,172.0
Acura,TSX 4dr,Sedan,Asia,Front,26990.0,24647.0,2.4,4.0,200.0,22.0,29.0,3230.0,105.0,183.0
Acura,TL 4dr,Sedan,Asia,Front,33195.0,30299.0,3.2,6.0,270.0,20.0,28.0,3575.0,108.0,186.0
Acura,3.5 RL 4dr,Sedan,Asia,Front,43755.0,39014.0,3.5,6.0,225.0,18.0,24.0,3880.0,115.0,197.0
Acura,3.5 RL w/Navigation 4dr,Sedan,Asia,Front,46100.0,41100.0,3.5,6.0,225.0,18.0,24.0,3893.0,115.0,197.0
Acura,NSX coupe 2dr manual S,Sports,Asia,Rear,89765.0,79978.0,3.2,6.0,290.0,17.0,24.0,3153.0,100.0,174.0
Abarth,595,Hatchback,Europe,FWD,23000.0,22000.0,1.4,4.0,145.0,32.4,38.1,1110.0,98.0,3660.0
Abarth,595C,Convertible,Europe,FWD,25500.0,24500.0,1.4,4.0,145.0,31.7,37.4,1140.0,98.0,3660.0
Alfa Romeo,Stelvio,SUV,Europe,AWD,48000.0,46000.0,2.0,4.0,280.0,29.4,34.4,1800.0,110.0,4700.0
Alfa Romeo,Giulietta,Hatchback,Europe,FWD,25000.0,24000.0,1.75,4.0,240.0,27.0,35.0,1400.0,105.0,4350.0
Alfa Romeo,Giulia,Sedan,Europe,RWD,42000.0,40000.0,2.0,4.0,280.0,27.7,36.0,1650.0,111.0,4640.0
Aston Martin,DB11,Coupe,Europe,RWD,180000.0,170000.0,4.0,8.0,510.0,15.0,22.0,1870.0,114.0,4700.0
Aston Martin,DB11 Volante,Convertible,Europe,RWD,195000.0,185000.0,4.0,8.0,510.0,14.0,22.0,1920.0,114.0,4700.0
Aston Martin,DBX,SUV,Europe,AWD,210000.0,200000.0,4.0,8.0,550.0,16.0,22.0,2240.0,121.0,5030.0
Aston Martin,DBS Superleggera,Coupe,Europe,RWD,320000.0,310000.0,5.2,12.0,715.0,13.0,21.0,1790.0,114.0,4700.0
Aston Martin,Rapide S,Sedan,Europe,RWD,200000.0,190000.0,6.0,12.0,550.0,16.0,23.0,1870.0,111.0,5080.0
Aston Martin,Vantage,Coupe,Europe,RWD,140000.0,130000.0,4.0,8.0,503.0,19.0,29.0,1610.0,107.0,4470.0
Audi,A1 Sportback,Hatchback,Europe,FWD,26000.0,25000.0,1.5,4.0,150.0,33.6,42.8,1200.0,98.0,4000.0
Audi,Citycarver A1,Hatchback,Europe,FWD,27000.0,26000.0,1.5,4.0,150.0,32.0,41.5,1250.0,98.0,4050.0
Audi,A6,Sedan,Europe,AWD,54000.0,52000.0,2.0,4.0,245.0,27.0,35.0,1700.0,114.0,4950.0
Audi,A6 Allroad Quattro,SUV,Europe,AWD,60000.0,58000.0,3.0,6.0,335.0,23.0,29.0,1950.0,114.0,5050.0
Audi,A6 Avant,Sedan,Europe,AWD,55000.0,53000.0,2.0,4.0,245.0,26.0,34.0,1700.0,114.0,4950.0
Audi,A7 Sportback,Hatchback,Europe,AWD,67000.0,65000.0,3.0,6.0,335.0,24.0,31.0,1870.0,114.0,4950.0
Audi,A8,Sedan,Europe,AWD,90000.0,87000.0,3.0,6.0,335.0,22.0,28.0,2000.0,121.0,5300.0
Audi,A3 Berlina,Sedan,Europe,FWD,32000.0,31000.0,1.5,4.0,150.0,30.0,38.0,1350.0,105.0,4450.0
Audi,A3 Sportback,Hatchback,Europe,FWD,32000.0,31000.0,1.5,4.0,150.0,30.0,38.0,1350.0,105.0,4450.0
Audi,A4,Sedan,Europe,FWD,37000.0,36000.0,2.0,4.0,190.0,27.0,35.0,1500.0,110.0,4700.0
Audi,A4 Avant,Station Wagon,Europe,FWD,39000.0,38000.0,2.0,4.0,190.0,26.0,34.0,1550.0,110.0,4750.0
Audi,A4 Allroad Quattro,SUV,Europe,AWD,45000.0,43000.0,3.0,6.0,245.0,22.0,27.0,1800.0,110.0,4800.0
Audi,A5 Cabrio,Convertible,Europe,RWD,46000.0,44000.0,2.0,4.0,190.0,25.0,32.0,1650.0,110.0,4700.0
Audi,A5 Coupé,Coupe,Europe,RWD,45000.0,43000.0,2.0,4.0,190.0,25.0,32.0,1600.0,110.0,4700.0
Audi,A5 Sportback,Hatchback,Europe,FWD,46000.0,44000.0,2.0,4.0,190.0,25.0,32.0,1650.0,110.0,4700.0
Audi,Q7,SUV,Europe,AWD,75000.0,72000.0,3.0,6.0,335.0,19.0,24.0,2100.0,121.0,5050.0
Audi,RS 5 Coupé,Coupe,Europe,RWD,80000.0,78000.0,2.9,6.0,450.0,18.0,26.0,1700.0,110.0,4700.0
Audi,RS4 Avant,Station Wagon,Europe,RWD,75000.0,73000.0,2.9,6.0,450.0,18.0,26.0,1700.0,110.0,4700.0
Audi,RS5 Sportback,Hatchback,Europe,RWD,80000.0,78000.0,2.9,6.0,450.0,18.0,26.0,1700.0,110.0,4700.0
Audi,RS7 Sportback,Hatchback,Europe,RWD,85000.0,83000.0,4.0,8.0,600.0,17.0,24.0,1850.0,114.0,4900.0
Audi,S3 Berlina,Sedan,Europe,FWD,42000.0,40000.0,2.0,4.0,310.0,26.0,34.0,1400.0,105.0,4450.0
Audi,S3 Sportback,Hatchback,Europe,FWD,42000.0,40000.0,2.0,4.0,310.0,26.0,34.0,1400.0,105.0,4450.0
Audi,S6,Sedan,Europe,AWD,75000.0,73000.0,4.0,8.0,450.0,20.0,27.0,1750.0,114.0,4900.0
Audi,S6 Avant,Station Wagon,Europe,AWD,77000.0,75000.0,4.0,8.0,450.0,20.0,27.0,1800.0,114.0,4950.0
Audi,S8,Sedan,Europe,AWD,95000.0,93000.0,4.0,8.0,570.0,17.0,24.0,2000.0,121.0,5300.0
Audi,Q2,SUV,Europe,FWD,35000.0,34000.0,1.5,4.0,150.0,32.0,41.0,1350.0,105.0,4300.0
Audi,Q3,SUV,Europe,AWD,40000.0,39000.0,2.0,4.0,220.0,26.0,33.0,1600.0,105.0,4500.0
Audi,Q3 Sportback,SUV,Europe,AWD,42000.0,41000.0,2.0,4.0,220.0,26.0,33.0,1600.0,105.0,4500.0
Audi,Q5,SUV,Europe,AWD,52000.0,50000.0,2.0,4.0,245.0,24.0,31.0,1750.0,110.0,4800.0
Audi,Q8,SUV,Europe,AWD,90000.0,88000.0,3.0,6.0,335.0,19.0,25.0,2100.0,121.0,5000.0
Audi,R8 Coupe,Coupe,Europe,RWD,150000.0,145000.0,5.2,10.0,610.0,14.0,22.0,1650.0,107.0,4430.0
Audi,R8 Spyder,Convertible,Europe,RWD,170000.0,165000.0,5.2,10.0,610.0,14.0,22.0,1670.0,107.0,4430.0
Audi,RS 6 Avant,Station Wagon,Europe,AWD,110000.0,108000.0,4.0,8.0,600.0,17.0,24.0,1850.0,114.0,4900.0
Audi,RS Q3,SUV,Europe,AWD,70000.0,68000.0,2.5,5.0,400.0,22.0,29.0,1750.0,110.0,4700.0
Audi,RS Q3 Sportback,SUV,Europe,AWD,72000.0,70000.0,2.5,5.0,400.0,22.0,29.0,1750.0,110.0,4700.0
Audi,RS Q8,SUV,Europe,AWD,140000.0,138000.0,4.0,8.0,600.0,17.0,24.0,2100.0,121.0,5000.0
Audi,S4,Sedan,Europe,RWD,50000.0,48000.0,3.0,6.0,349.0,23.0,31.0,1650.0,110.0,4700.0
Audi,S5 Cabriolet,Convertible,Europe,RWD,53000.0,51000.0,3.0,6.0,349.0,23.0,31.0,1700.0,110.0,4700.0
Audi,S5 Coupé,Coupe,Europe,RWD,52000.0,50000.0,3.0,6.0,349.0,23.0,31.0,1650.0,110.0,4700.0
Audi,S5 Sportback,Hatchback,Europe,RWD,53000.0,51000.0,3.0,6.0,349.0,23.0,31.0,1700.0,110.0,4700.0
BMW,Serie 1,Hatchback,Europe,RWD,35000.0,34000.0,2.0,4.0,190.0,29.0,37.0,1400.0,110.0,4350.0
BMW,Serie 2 Coupé,Coupe,Europe,RWD,38000.0,37000.0,2.0,4.0,250.0,26.0,35.0,1450.0,110.0,4370.0
BMW,Serie 2 Gran Coupé,Sedan,Europe,RWD,36000.0,35000.0,2.0,4.0,190.0,28.0,36.0,1400.0,110.0,4350.0
BMW,Serie 3,Sedan,Europe,RWD,42000.0,41000.0,2.0,4.0,255.0,27.0,36.0,1500.0,112.0,4700.0
BMW,Serie 3 Touring,Station Wagon,Europe,RWD,45000.0,44000.0,2.0,4.0,255.0,26.0,35.0,1550.0,112.0,4750.0
BMW,Serie 4 Coupé,Coupe,Europe,RWD,47000.0,46000.0,3.0,6.0,382.0,24.0,33.0,1600.0,115.0,4800.0
BMW,Serie 4 Cabrio,Convertible,Europe,RWD,51000.0,50000.0,3.0,6.0,382.0,24.0,32.0,1650.0,115.0,4850.0
BMW,Serie 5,Sedan,Europe,RWD,56000.0,55000.0,2.0,4.0,248.0,27.0,36.0,1650.0,114.0,4950.0
BMW,Serie 5 Touring,Station Wagon,Europe,RWD,60000.0,59000.0,2.0,4.0,248.0,26.0,35.0,1700.0,114.0,5000.0
BMW,Serie 6 Gran Turismo,Hatchback,Europe,RWD,67000.0,66000.0,3.0,6.0,335.0,23.0,31.0,1800.0,115.0,5050.0
BMW,Serie 7,Sedan,Europe,RWD,90000.0,88000.0,4.4,8.0,523.0,20.0,27.0,2000.0,121.0,5300.0
BMW,Serie 8 Coupé,Coupe,Europe,RWD,85000.0,83000.0,4.4,8.0,523.0,19.0,26.0,1850.0,114.0,4900.0
BMW,Serie X1,SUV,Europe,AWD,37000.0,36000.0,2.0,4.0,228.0,26.0,33.0,1600.0,110.0,4500.0
BMW,Serie X3,SUV,Europe,AWD,51000.0,50000.0,3.0,6.0,382.0,23.0,30.0,1800.0,115.0,4900.0
BMW,Serie X4,SUV,Europe,AWD,56000.0,55000.0,3.0,6.0,382.0,22.0,29.0,1850.0,115.0,4950.0
BMW,Serie X5,SUV,Europe,AWD,70000.0,68000.0,4.4,8.0,523.0,19.0,25.0,2100.0,121.0,5300.0
BMW,Serie X6,SUV,Europe,AWD,72000.0,70000.0,4.4,8.0,523.0,18.0,24.0,2150.0,121.0,5350.0
BMW,X7,SUV,Europe,AWD,95000.0,92000.0,3.0,6,340.0,20.0,27.0,2430.0,310.0,5151.0
BMW,Z4 Roadster,Convertible,Europe,RWD,49000.0,48000.0,3.0,6.0,382.0,25.0,33.0,1600.0,110.0,4400.0
BMW,i3,Hatchback,Europe,RWD,45000.0,43000.0,0.0,0,170.0,0.0,0.0,1365.0,257.0,4011.0
BMW,iX3,SUV,Europe,RWD,68000.0,66000.0,0.0,0,286.0,0.0,0.0,2185.0,286.0,4734.0
BMW,X5 4.4i,SUV,Europe,All,52195.0,47720.0,4.4,8.0,325.0,16.0,22.0,4824.0,111.0,184.0
BMW,325i 4dr,Sedan,Europe,Rear,28495.0,26155.0,2.5,6.0,184.0,20.0,29.0,3219.0,107.0,176.0
BMW,325Ci 2dr,Sedan,Europe,Rear,30795.0,28245.0,2.5,6.0,184.0,20.0,29.0,3197.0,107.0,177.0
BMW,325Ci convertible 2dr,Sedan,Europe,Rear,37995.0,34800.0,2.5,6.0,184.0,19.0,27.0,3560.0,107.0,177.0
BMW,325xi 4dr,Sedan,Europe,All,30245.0,27745.0,2.5,6.0,184.0,19.0,27.0,3461.0,107.0,176.0
BMW,330i 4dr,Sedan,Europe,Rear,35495.0,32525.0,3.0,6.0,225.0,20.0,30.0,3285.0,107.0,176.0
BMW,330Ci 2dr,Sedan,Europe,Rear,36995.0,33890.0,3.0,6.0,225.0,20.0,30.0,3285.0,107.0,176.0
BMW,330xi 4dr,Sedan,Europe,All,37245.0,34115.0,3.0,6.0,225.0,20.0,29.0,3483.0,107.0,176.0
BMW,525i 4dr,Sedan,Europe,Rear,39995.0,36620.0,2.5,6.0,184.0,19.0,28.0,3428.0,114.0,191.0
BMW,330Ci convertible 2dr,Sedan,Europe,Rear,44295.0,40530.0,3.0,6.0,225.0,19.0,28.0,3616.0,107.0,177.0
BMW,530i 4dr,Sedan,Europe,Rear,44995.0,41170.0,3.0,6.0,225.0,20.0,30.0,3472.0,114.0,191.0
BMW,545iA 4dr,Sedan,Europe,Rear,54995.0,50270.0,4.4,8.0,325.0,18.0,26.0,3814.0,114.0,191.0
BMW,745i 4dr,Sedan,Europe,Rear,69195.0,63190.0,4.4,8.0,325.0,18.0,26.0,4376.0,118.0,198.0
BMW,745Li 4dr,Sedan,Europe,Rear,73195.0,66830.0,4.4,8.0,325.0,18.0,26.0,4464.0,123.0,204.0
BMW,M3 coupe 2dr,Sports,Europe,Rear,48195.0,44170.0,3.2,6.0,333.0,16.0,24.0,3415.0,108.0,177.0
BMW,M3 convertible 2dr,Sports,Europe,Rear,56595.0,51815.0,3.2,6.0,333.0,16.0,23.0,3781.0,108.0,177.0
BMW,Z4 convertible 2.5i 2dr,Sports,Europe,Rear,33895.0,31065.0,2.5,6.0,184.0,20.0,28.0,2932.0,98.0,161.0
BMW,Z4 convertible 3.0i 2dr,Sports,Europe,Rear,41045.0,37575.0,3.0,6.0,225.0,21.0,29.0,2998.0,98.0,161.0
BMW,325xi Sport,Wagon,Europe,All,32845.0,30110.0,2.5,6.0,184.0,19.0,26.0,3594.0,107.0,176.0
Buick,Rainier,SUV,USA,All,37895.0,34357.0,4.2,6.0,275.0,15.0,21.0,4600.0,113.0,193.0
Buick,Rendezvous CX,SUV,USA,Front,26545.0,24085.0,3.4,6.0,185.0,19.0,26.0,4024.0,112.0,187.0
Buick,Century Custom 4dr,Sedan,USA,Front,22180.0,20351.0,3.1,6.0,175.0,20.0,30.0,3353.0,109.0,195.0
Buick,LeSabre Custom 4dr,Sedan,USA,Front,26470.0,24282.0,3.8,6.0,205.0,20.0,29.0,3567.0,112.0,200.0
Buick,Regal LS 4dr,Sedan,USA,Front,24895.0,22835.0,3.8,6.0,200.0,20.0,30.0,3461.0,109.0,196.0
Buick,Regal GS 4dr,Sedan,USA,Front,28345.0,26047.0,3.8,6.0,240.0,18.0,28.0,3536.0,109.0,196.0
Buick,LeSabre Limited 4dr,Sedan,USA,Front,32245.0,29566.0,3.8,6.0,205.0,20.0,29.0,3591.0,112.0,200.0
Buick,Park Avenue 4dr,Sedan,USA,Front,35545.0,32244.0,3.8,6.0,205.0,20.0,29.0,3778.0,114.0,207.0
Buick,Park Avenue Ultra 4dr,Sedan,USA,Front,40720.0,36927.0,3.8,6.0,240.0,18.0,28.0,3909.0,114.0,207.0
Cadillac,Escalade,SUV,USA,Front,52795.0,48377.0,5.3,8.0,295.0,14.0,18.0,5367.0,116.0,199.0
Cadillac,SRX V8,SUV,USA,Front,46995.0,43523.0,4.6,8.0,320.0,16.0,21.0,4302.0,116.0,195.0
Cadillac,CTS VVT 4dr,Sedan,USA,Rear,30835.0,28575.0,3.6,6.0,255.0,18.0,25.0,3694.0,113.0,190.0
Cadillac,Deville 4dr,Sedan,USA,Front,45445.0,41650.0,4.6,8.0,275.0,18.0,26.0,3984.0,115.0,207.0
Cadillac,Deville DTS 4dr,Sedan,USA,Front,50595.0,46362.0,4.6,8.0,300.0,18.0,26.0,4044.0,115.0,207.0
Cadillac,Seville SLS 4dr,Sedan,USA,Front,47955.0,43841.0,4.6,8.0,275.0,18.0,26.0,3992.0,112.0,201.0
Cadillac,XLR convertible 2dr,Sports,USA,Rear,76200.0,70546.0,4.6,8.0,320.0,17.0,25.0,3647.0,106.0,178.0
Cadillac,Escalade EXT,Truck,USA,All,52975.0,48541.0,6.0,8.0,345.0,13.0,17.0,5879.0,130.0,221.0
Chevrolet,Suburban 1500 LT,SUV,USA,Front,42735.0,37422.0,5.3,8.0,295.0,14.0,18.0,4947.0,130.0,219.0
Chevrolet,Tahoe LT,SUV,USA,All,41465.0,36287.0,5.3,8.0,295.0,14.0,18.0,5050.0,116.0,197.0
Chevrolet,TrailBlazer LT,SUV,USA,Front,30295.0,27479.0,4.2,6.0,275.0,16.0,21.0,4425.0,113.0,192.0
Chevrolet,Tracker,SUV,USA,Front,20255.0,19108.0,2.5,6.0,165.0,19.0,22.0,2866.0,98.0,163.0
Chevrolet,Aveo 4dr,Sedan,USA,Front,11690.0,10965.0,1.6,4.0,103.0,28.0,34.0,2370.0,98.0,167.0
Chevrolet,Aveo LS 4dr hatch,Sedan,USA,Front,12585.0,11802.0,1.6,4.0,103.0,28.0,34.0,2348.0,98.0,153.0
Chevrolet,Cavalier 2dr,Sedan,USA,Front,14610.0,13697.0,2.2,4.0,140.0,26.0,37.0,2617.0,104.0,183.0
Chevrolet,Cavalier 4dr,Sedan,USA,Front,14810.0,13884.0,2.2,4.0,140.0,26.0,37.0,2676.0,104.0,183.0
Chevrolet,Cavalier LS 2dr,Sedan,USA,Front,16385.0,15357.0,2.2,4.0,140.0,26.0,37.0,2617.0,104.0,183.0
Chevrolet,Impala 4dr,Sedan,USA,Front,21900.0,20095.0,3.4,6.0,180.0,21.0,32.0,3465.0,111.0,200.0
Chevrolet,Malibu 4dr,Sedan,USA,Front,18995.0,17434.0,2.2,4.0,145.0,24.0,34.0,3174.0,106.0,188.0
Chevrolet,Malibu LS 4dr,Sedan,USA,Front,20370.0,18639.0,3.5,6.0,200.0,22.0,30.0,3297.0,106.0,188.0
Chevrolet,Monte Carlo LS 2dr,Sedan,USA,Front,21825.0,20026.0,3.4,6.0,180.0,21.0,32.0,3340.0,111.0,198.0
Chevrolet,Impala LS 4dr,Sedan,USA,Front,25000.0,22931.0,3.8,6.0,200.0,20.0,30.0,3476.0,111.0,200.0
Chevrolet,Impala SS 4dr,Sedan,USA,Front,27995.0,25672.0,3.8,6.0,240.0,18.0,28.0,3606.0,111.0,200.0
Chevrolet,Malibu LT 4dr,Sedan,USA,Front,23495.0,21551.0,3.5,6.0,200.0,23.0,32.0,3315.0,106.0,188.0
Chevrolet,Monte Carlo SS 2dr,Sedan,USA,Front,24225.0,22222.0,3.8,6.0,200.0,18.0,28.0,3434.0,111.0,198.0
Chevrolet,Astro,Sedan,USA,All,26395.0,23954.0,4.3,6.0,190.0,14.0,17.0,4605.0,111.0,190.0
Chevrolet,Venture LS,Sedan,USA,Front,27020.0,24518.0,3.4,6.0,185.0,19.0,26.0,3699.0,112.0,187.0
Chevrolet,Corvette 2dr,Sports,USA,Rear,44535.0,39068.0,5.7,8.0,350.0,18.0,25.0,3246.0,105.0,180.0
Chevrolet,Corvette convertible 2dr,Sports,USA,Rear,51535.0,45193.0,5.7,8.0,350.0,18.0,25.0,3248.0,105.0,180.0
Chevrolet,Avalanche 1500,Truck,USA,All,36100.0,31689.0,5.3,8.0,295.0,14.0,18.0,5678.0,130.0,222.0
Chevrolet,Colorado Z85,Truck,USA,All,18760.0,17070.0,2.8,4.0,175.0,18.0,23.0,3623.0,111.0,192.0
Chevrolet,Silverado 1500 Regular Cab,Truck,USA,Rear,20310.0,18480.0,4.3,6.0,200.0,15.0,21.0,4142.0,119.0,206.0
Chevrolet,Silverado SS,Truck,USA,All,40340.0,35399.0,6.0,8.0,300.0,13.0,17.0,4804.0,144.0,238.0
Chevrolet,SSR,Truck,USA,Rear,41995.0,39306.0,5.3,8.0,300.0,16.0,19.0,4760.0,116.0,191.0
Chevrolet,Malibu Maxx LS,Wagon,USA,Front,22225.0,20394.0,3.5,6.0,200.0,22.0,30.0,3458.0,112.0,188.0
Chrysler,PT Cruiser 4dr,Sedan,USA,Front,17985.0,16919.0,2.4,4.0,150.0,22.0,29.0,3101.0,103.0,169.0
Chrysler,PT Cruiser Limited 4dr,Sedan,USA,Front,22000.0,20573.0,2.4,4.0,150.0,22.0,29.0,3105.0,103.0,169.0
Chrysler,Sebring 4dr,Sedan,USA,Front,19090.0,17805.0,2.4,4.0,150.0,22.0,30.0,3173.0,108.0,191.0
Chrysler,Sebring Touring 4dr,Sedan,USA,Front,21840.0,20284.0,2.7,6.0,200.0,21.0,28.0,3222.0,108.0,191.0
Chrysler,300M 4dr,Sedan,USA,Front,29865.0,27797.0,3.5,6.0,250.0,18.0,27.0,3581.0,113.0,198.0
Chrysler,Concorde LX 4dr,Sedan,USA,Front,24130.0,22452.0,2.7,6.0,200.0,21.0,29.0,3479.0,113.0,208.0
Chrysler,Concorde LXi 4dr,Sedan,USA,Front,26860.0,24909.0,3.5,6.0,232.0,19.0,27.0,3548.0,113.0,208.0
Chrysler,PT Cruiser GT 4dr,Sedan,USA,Front,25955.0,24172.0,2.4,4.0,220.0,21.0,27.0,3217.0,103.0,169.0
Chrysler,Sebring convertible 2dr,Sedan,USA,Front,25215.0,23451.0,2.4,4.0,150.0,22.0,30.0,3357.0,106.0,194.0
Chrysler,300M Special Edition 4dr,Sedan,USA,Front,33295.0,30884.0,3.5,6.0,255.0,18.0,27.0,3650.0,113.0,198.0
Chrysler,Sebring Limited convertible 2dr,Sedan,USA,Front,30950.0,28613.0,2.7,6.0,200.0,21.0,28.0,3448.0,106.0,194.0
Chrysler,Town and Country LX,Sedan,USA,Front,27490.0,25371.0,3.3,6.0,180.0,19.0,26.0,4068.0,119.0,201.0
Chrysler,Town and Country Limited,Sedan,USA,Front,38380.0,35063.0,3.8,6.0,215.0,18.0,25.0,4331.0,119.0,201.0
Chrysler,Crossfire 2dr,Sports,USA,Rear,34495.0,32033.0,3.2,6.0,215.0,17.0,25.0,3060.0,95.0,160.0
Chrysler,Pacifica,Wagon,USA,Rear,31230.0,28725.0,3.5,6.0,250.0,17.0,23.0,4675.0,116.0,199.0
Citroën,Berlingo,Minivan,Europe,FWD,28000.0,26500.0,1.5,4,100.0,34.0,45.0,1420.0,278.0,4403.0
Citroën,Berlingo 4 porte,Minivan,Europe,FWD,29000.0,27500.0,1.5,4,102.0,34.0,45.0,1440.0,278.0,4753.0
Citroën,C-Elysée,Sedan,Europe,FWD,21000.0,20000.0,1.2,3,82.0,38.0,51.0,1100.0,265.0,4419.0
Citroën,C1,Hatchback,Europe,FWD,16000.0,15500.0,1.0,3,72.0,40.0,56.0,950.0,234.0,3466.0
Citroën,C1 Airscape 5 porte,Hatchback,Europe,FWD,17000.0,16500.0,1.0,3,72.0,40.0,56.0,960.0,234.0,3475.0
Citroën,C3,Hatchback,Europe,FWD,19000.0,18000.0,1.2,3,83.0,39.0,54.0,1050.0,254.0,3996.0
Citroën,C3 Aircross,SUV,Europe,FWD,23000.0,22000.0,1.2,3,110.0,37.0,50.0,1200.0,260.0,4155.0
Citroën,C4,Hatchback,Europe,FWD,25000.0,24000.0,1.2,3,130.0,36.0,49.0,1250.0,267.0,4360.0
Citroën,ë-C4,Hatchback,Europe,FWD,35000.0,34000.0,0.0,0,136.0,0.0,0.0,1541.0,267.0,4360.0
Citroën,C4 Cactus,Hatchback,Europe,FWD,24000.0,23000.0,1.2,3,110.0,37.0,50.0,1170.0,259.0,4170.0
Citroën,C4 SpaceTourer,Minivan,Europe,FWD,31000.0,29500.0,1.5,4,130.0,35.0,48.0,1350.0,278.0,4438.0
Citroën,Grand C4 SpaceTourer,Minivan,Europe,FWD,34000.0,32500.0,1.5,4,130.0,34.0,47.0,1500.0,284.0,4600.0
